blockNo	seqName	FPS	type
0	kitti/seqs/final/seq_c08_2-kirchfeld-mod3-v1.txt	10	complex
1	kitti/seqs/final/seq_s07_1-rommelstr.txt	10	simple
1	kitti/seqs/final/seq_c10_6-weiherfeldb-mod7-v00.txt	10	complex
1	kitti/seqs/final/seq_s06_2-b3ettlingen.txt	10	simple
1	kitti/seqs/final/seq_s03_2-hardtwaldb.txt	10	simple
1	kitti/seqs/final/seq_s07_2-rommelstr.txt	10	simple
1	kitti/seqs/final/seq_c09_2-weiherfelda-mod8-v10.txt	10	complex
1	kitti/seqs/final/seq_c10_3-weiherfeldb-mod5-v00.txt	10	complex
1	kitti/seqs/final/seq_c09_1-weiherfelda-mod5-v01.txt	10	complex
1	kitti/seqs/final/seq_s06_1-b3ettlingen.txt	10	simple
1	kitti/seqs/final/seq_s03_1-hardtwaldb.txt	10	simple
1	kitti/seqs/final/seq_c10_4-weiherfeldb-mod5-v11.txt	10	complex
1	kitti/seqs/final/seq_c10_8-weiherfeldb-mod5-v00.txt	10	complex
2	kitti/seqs/final/seq_c06_2-kelterstr-mod5-v0.txt	10	complex
2	kitti/seqs/final/seq_s05_1-b36knielingen.txt	10	simple
2	kitti/seqs/final/seq_c08_5-kirchfeld-mod5-v0.txt	10	complex
2	kitti/seqs/final/seq_s05_2-b36knielingen.txt	10	simple
2	kitti/seqs/final/seq_c09_3-weiherfelda-mod4-v01.txt	10	complex
2	kitti/seqs/final/seq_s02_1-haidundneu.txt	10	simple
2	kitti/seqs/final/seq_c08_4-kirchfeld-mod5-v1.txt	10	complex
2	kitti/seqs/final/seq_s01_2-aldi.txt	10	simple
2	kitti/seqs/final/seq_s04_2-neureut.txt	10	simple
2	kitti/seqs/final/seq_c10_2-weiherfeldb-mod4-v10.txt	10	complex
2	kitti/seqs/final/seq_s01_1-aldi.txt	10	simple
2	kitti/seqs/final/seq_c10_5-weiherfeldb-mod4-v10.txt	10	complex
3	kitti/seqs/final/seq_c08_3-kirchfeld-mod3-v0.txt	10	complex
3	kitti/seqs/final/seq_c01_2-waldstadta-mod5-v0.txt	10	complex
3	kitti/seqs/final/seq_s08_4-durlacherallee.txt	10	simple
3	kitti/seqs/final/seq_s10_1-hardtwalda.txt	10	simple
3	kitti/seqs/final/seq_c10_1-weiherfeldb-mod4-v1.txt	10	complex
3	kitti/seqs/final/seq_s09_6-b10nord.txt	10	simple
3	kitti/seqs/final/seq_c06_1-kelterstr-mod3-v0.txt	10	complex
3	kitti/seqs/final/seq_s08_3-durlacherallee.txt	10	simple
3	kitti/seqs/final/seq_s04_1-neureut.txt	10	simple
