Structure stats
===============
| scene  |  v  |next| hazard  |  safe   |uncertain|
|--------+-----+----+---------+---------+---------|
|s07_1   |vdef |  42|        0|        0|        0|
|c10_6   |v00  |  48|        0|        5|        2|
|s06_2   |vdef |  49|        0|        0|        0|
|s03_2   |vdef |  50|        0|        0|        0|
|s07_2   |vdef |  46|        0|        0|        0|
|c09_2   |v10  |  43|        1|        5|        1|
|c10_3   |v00  |  49|        1|        3|        0|
|c09_1   |v01  |  61|        1|        2|        1|
|s06_1   |vdef |  49|        0|        0|        0|
|s03_1   |vdef |  50|        0|        0|        0|
|c10_4   |v11  |  48|        2|        2|        1|
|c10_8   |v00  |  41|        0|        3|        1|
|--------+-----+----+---------+---------+---------|
|c06_2   |v0   |  50|        0|        5|        0|
|s05_1   |vdef |  48|        0|        0|        0|
|c08_5   |v0   |  57|        1|        0|        4|
|s05_2   |vdef |  41|        0|        0|        0|
|c09_3   |v01  |  50|        1|        1|        1|
|s02_1   |vdef |  48|        0|        0|        0|
|c08_4   |v1   |  57|        1|        1|        3|
|s01_2   |vdef |  51|        0|        0|        0|
|s04_2   |vdef |  47|        0|        0|        0|
|c10_2   |v10  |  39|        1|        1|        1|
|s01_1   |vdef |  41|        0|        0|        0|
|c10_5   |v10  |  41|        1|        2|        0|
|--------+-----+----+---------+---------+---------|
|c08_3   |v0   |  63|        0|        1|        2|
|c01_2   |v0   |  51|        0|        2|        2|
|s08_4   |vdef |  53|        0|        0|        0|
|s10_1   |vdef |  47|        0|        0|        0|
|c10_1   |v1   |  54|        1|        2|        1|
|s09_6   |vdef |  54|        0|        0|        0|
|c06_1   |v0   |  43|        0|        3|        0|
|s08_3   |vdef |  50|        0|        0|        0|
|s04_1   |vdef |  37|        0|        0|        0|
|s08_1   |vdef |  44|        0|        0|        0|
|c04_1   |v1   |  38|        1|        2|        1|
|c05_1   |v0   |  43|        0|        2|        1|
|--------+-----+----+---------+---------+---------|
|c08_1   |v0   |  57|        0|        0|        3|
|c07_2   |v0   |  54|        0|        1|        1|
|s09_2   |vdef |  48|        0|        0|        0|
|c05_2   |vdef |  67|        0|        0|        0|
|s09_5   |vdef |  44|        0|        0|        0|
|c03_1   |vdef |  53|        0|        1|        1|
|s07_1   |vdef |  43|        0|        0|        0|
|s09_3   |vdef |  46|        0|        0|        0|
|c08_2   |v0   |  46|        0|        1|        2|
|c07_3   |v10  |  50|        0|        1|        0|
|s09_1   |vdef |  46|        0|        0|        0|
|s09_4   |vdef |  33|        0|        0|        0|
|--------+-----+----+---------+---------+---------|
|c09_2   |v00  |  57|        0|        5|        1|
|c10_6   |v01  |  52|        1|        5|        1|
|s07_2   |vdef |  38|        0|        0|        0|
|s06_2   |vdef |  46|        0|        0|        0|
|c10_8   |v11  |  66|        2|        2|        1|
|s03_2   |vdef |  50|        0|        0|        0|
|c07_1   |vdef |  44|        0|        0|        0|
|c10_3   |v01  |  44|        2|        2|        0|
|s05_2   |vdef |  46|        0|        0|        0|
|s06_1   |vdef |  43|        0|        0|        0|
|c10_4   |v10  |  49|        1|        3|        1|
|s03_1   |vdef |  37|        0|        0|        0|
|--------+-----+----+---------+---------+---------|
|c10_2   |v11  |  50|        2|        1|        1|
|s05_1   |vdef |  43|        0|        0|        0|
|c06_2   |v1   |  52|        0|        5|        1|
|s01_1   |vdef |  50|        0|        0|        0|
|c10_5   |v01  |  51|        1|        2|        0|
|s02_1   |vdef |  51|        0|        0|        0|
|c09_3   |v10  |  43|        1|        1|        1|
|s04_2   |vdef |  45|        0|        0|        0|
|c09_1   |v10  |  43|        1|        2|        1|
|s04_1   |vdef |  39|        0|        0|        0|
|s01_2   |vdef |  47|        0|        0|        0|
|c08_5   |v1   |  50|        2|        0|        3|
|--------+-----+----+---------+---------+---------|
|c04_1   |v0   |  52|        0|        3|        1|
|c06_1   |v1   |  49|        1|        2|        0|
|s10_1   |vdef |  45|        0|        0|        0|
|c08_4   |v0   |  53|        0|        1|        3|
|c01_2   |v1   |  50|        1|        2|        2|
|s08_1   |vdef |  46|        0|        0|        0|
|c05_1   |v1   |  60|        1|        2|        0|
|s08_4   |vdef |  50|        0|        0|        0|
|s09_4   |vdef |  45|        0|        0|        0|
|s08_3   |vdef |  50|        0|        0|        0|
|c10_1   |v0   |  38|        0|        3|        1|
|s09_6   |vdef |  44|        0|        0|        0|
|--------+-----+----+---------+---------+---------|
|s09_5   |vdef |  46|        0|        0|        0|
|s07_1   |vdef |  47|        0|        0|        0|
|s09_2   |vdef |  54|        0|        0|        0|
|c08_3   |v1   |  49|        1|        1|        1|
|s07_2   |vdef |  55|        0|        0|        0|
|s09_3   |vdef |  48|        0|        0|        0|
|c08_2   |v1   |  49|        1|        0|        2|
|c07_2   |v1   |  44|        1|        0|        1|
|s09_1   |vdef |  42|        0|        0|        0|
|c08_1   |v1   |  48|        1|        0|        2|
|c03_1   |vdef |  52|        0|        1|        1|
|c07_3   |v01  |  47|        0|        0|        1|
|--------+-----+----+---------+---------+---------|
|s03_1   |vdef |  57|        0|        0|        0|
|s06_2   |vdef |  58|        0|        0|        0|
|c07_1   |vdef |  51|        0|        0|        0|
|c10_3   |v10  |  65|        2|        3|        0|
|s06_1   |vdef |  33|        0|        0|        0|
|c10_6   |v11  |  51|        2|        5|        0|
|s05_2   |vdef |  43|        0|        0|        0|
