block_no	seq_no	seq_name	subject_complexity_rating
0	0	seq_s09_3-b10nord.txt	-1
0	1	seq_c07_1-erbprinzenstr.txt	-1
0	2	seq_c08_2-kirchfeld-mod3-v1.txt	-1
1	0	seq_s07_1-rommelstr.txt	-1
1	1	seq_c10_6-weiherfeldb-mod7-v00.txt	-1
1	2	seq_s06_2-b3ettlingen.txt	-1
1	3	seq_s03_2-hardtwaldb.txt	-1
1	4	seq_s07_2-rommelstr.txt	-1
1	5	seq_c09_2-weiherfelda-mod8-v10.txt	-1
1	6	seq_c10_3-weiherfeldb-mod5-v00.txt	-1
1	7	seq_c09_1-weiherfelda-mod5-v01.txt	-1
1	8	seq_s06_1-b3ettlingen.txt	-1
1	9	seq_s03_1-hardtwaldb.txt	-1
1	10	seq_c10_4-weiherfeldb-mod5-v11.txt	-1
1	11	seq_c10_8-weiherfeldb-mod5-v00.txt	-1
2	0	seq_c06_2-kelterstr-mod5-v0.txt	-1
2	1	seq_s05_1-b36knielingen.txt	-1
2	2	seq_c08_5-kirchfeld-mod5-v0.txt	-1
2	3	seq_s05_2-b36knielingen.txt	-1
2	4	seq_c09_3-weiherfelda-mod4-v01.txt	-1
2	5	seq_s02_1-haidundneu.txt	-1
2	6	seq_c08_4-kirchfeld-mod5-v1.txt	-1
2	7	seq_s01_2-aldi.txt	-1
2	8	seq_s04_2-neureut.txt	-1
2	9	seq_c10_2-weiherfeldb-mod4-v10.txt	-1
2	10	seq_s01_1-aldi.txt	-1
2	11	seq_c10_5-weiherfeldb-mod4-v10.txt	-1
3	0	seq_c08_3-kirchfeld-mod3-v0.txt	-1
3	1	seq_c01_2-waldstadta-mod5-v0.txt	-1
3	2	seq_s08_4-durlacherallee.txt	-1
3	3	seq_s10_1-hardtwalda.txt	-1
3	4	seq_c10_1-weiherfeldb-mod4-v1.txt	-1
3	5	seq_s09_6-b10nord.txt	-1
3	6	seq_c06_1-kelterstr-mod3-v0.txt	-1
3	7	seq_s08_3-durlacherallee.txt	-1
3	8	seq_s04_1-neureut.txt	-1
3	9	seq_s08_1-durlacherallee.txt	-1
3	10	seq_c04_1-bismarckstr-mod4-v1.txt	-1
3	11	seq_c05_1-pfinztalstr-mod3-v0.txt	-1
4	0	seq_c08_1-kirchfeld-mod3-v0.txt	-1
4	1	seq_c07_2-erbprinzenstr-mod2-v0.txt	-1
4	2	seq_s09_2-b10nord.txt	-1
4	3	seq_c05_2-pfinztalstr.txt	-1
4	4	seq_s09_5-b10nord.txt	-1
4	5	seq_c03_1-knielingen-mod2.txt	-1
4	6	seq_s07_1-rommelstr.txt	-1
4	7	seq_s09_3-b10nord.txt	-1
4	8	seq_c08_2-kirchfeld-mod3-v0.txt	-1
4	9	seq_c07_3-erbprinzenstr-mod1-v10.txt	-1
4	10	seq_s09_1-b10nord.txt	-1
4	11	seq_s09_4-b10nord.txt	-1
5	0	seq_c09_2-weiherfelda-mod8-v00.txt	-1
5	1	seq_c10_6-weiherfeldb-mod7-v01.txt	-1
5	2	seq_s07_2-rommelstr.txt	-1
5	3	seq_s06_2-b3ettlingen.txt	-1
5	4	seq_c10_8-weiherfeldb-mod5-v11.txt	-1
5	5	seq_s03_2-hardtwaldb.txt	-1
5	6	seq_c07_1-erbprinzenstr.txt	-1
5	7	seq_c10_3-weiherfeldb-mod5-v01.txt	-1
5	8	seq_s05_2-b36knielingen.txt	-1
5	9	seq_s06_1-b3ettlingen.txt	-1
5	10	seq_c10_4-weiherfeldb-mod5-v10.txt	-1
5	11	seq_s03_1-hardtwaldb.txt	-1
6	0	seq_c10_2-weiherfeldb-mod4-v11.txt	-1
6	1	seq_s05_1-b36knielingen.txt	-1
6	2	seq_c06_2-kelterstr-mod6-v1.txt	-1
6	3	seq_s01_1-aldi.txt	-1
6	4	seq_c10_5-weiherfeldb-mod4-v01.txt	-1
6	5	seq_s02_1-haidundneu.txt	-1
6	6	seq_c09_3-weiherfelda-mod4-v10.txt	-1
6	7	seq_s04_2-neureut.txt	-1
6	8	seq_c09_1-weiherfelda-mod5-v10.txt	-1
6	9	seq_s04_1-neureut.txt	-1
6	10	seq_s01_2-aldi.txt	-1
6	11	seq_c08_5-kirchfeld-mod5-v1.txt	-1
7	0	seq_c04_1-bismarckstr-mod4-v0.txt	-1
7	1	seq_c06_1-kelterstr-mod3-v1.txt	-1
7	2	seq_s10_1-hardtwalda.txt	-1
7	3	seq_c08_4-kirchfeld-mod5-v0.txt	-1
7	4	seq_c01_2-waldstadta-mod5-v1.txt	-1
7	5	seq_s08_1-durlacherallee.txt	-1
7	6	seq_c05_1-pfinztalstr-mod3-v1.txt	-1
7	7	seq_s08_4-durlacherallee.txt	-1
7	8	seq_s09_4-b10nord.txt	-1
7	9	seq_s08_3-durlacherallee.txt	-1
7	10	seq_c10_1-weiherfeldb-mod4-v0.txt	-1
7	11	seq_s09_6-b10nord.txt	-1
8	0	seq_s09_5-b10nord.txt	-1
8	1	seq_s07_1-rommelstr.txt	-1
8	2	seq_s09_2-b10nord.txt	-1
8	3	seq_c08_3-kirchfeld-mod3-v1.txt	-1
8	4	seq_s07_2-rommelstr.txt	-1
8	5	seq_s09_3-b10nord.txt	-1
8	6	seq_c08_2-kirchfeld-mod3-v1.txt	-1
8	7	seq_c07_2-erbprinzenstr-mod2-v1.txt	-1
8	8	seq_s09_1-b10nord.txt	-1
8	9	seq_c08_1-kirchfeld-mod3-v1.txt	-1
8	10	seq_c03_1-knielingen-mod2.txt	-1
8	11	seq_c07_3-erbprinzenstr-mod1-v01.txt	-1
9	0	seq_s03_1-hardtwaldb.txt	-1
9	1	seq_s06_2-b3ettlingen.txt	-1
9	2	seq_c07_1-erbprinzenstr.txt	-1
9	3	seq_c10_3-weiherfeldb-mod5-v10.txt	-1
9	4	seq_s06_1-b3ettlingen.txt	-1
9	5	seq_c10_6-weiherfeldb-mod7-v11.txt	-1
9	6	seq_s05_2-b36knielingen.txt	-1
9	7	seq_s03_2-hardtwaldb.txt	-1
9	8	seq_s05_1-b36knielingen.txt	-1
9	9	seq_c09_2-weiherfelda-mod8-v01.txt	-1
9	10	seq_c05_2-pfinztalstr.txt	-1
9	11	seq_c10_4-weiherfeldb-mod5-v00.txt	-1
10	0	seq_s04_1-neureut.txt	-1
10	1	seq_c09_3-weiherfelda-mod4-v00.txt	-1
10	2	seq_c10_2-weiherfeldb-mod4-v01.txt	-1
10	3	seq_c09_1-weiherfelda-mod5-v11.txt	-1
10	4	seq_s04_2-neureut.txt	-1
10	5	seq_s01_1-aldi.txt	-1
